GEOID,NAME,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME,HARDSHIP INDEX
06037119900,Census Tract 1199; Los Angeles County; California,15.7,2.9,4.3,24.2,35.4,29238.0,42.7
06037120010,Census Tract 1200.10; Los Angeles County; California,13.0,8.7,8.4,30.5,34.2,24298.0,47.1
06037120020,Census Tract 1200.20; Los Angeles County; California,14.3,15.9,11.4,45.8,33.400000000000006,19507.0,54.3
06037120030,Census Tract 1200.30; Los Angeles County; California,26.1,31.5,13.9,43.2,37.0,13925.0,66.3
06037120103,Census Tract 1201.03; Los Angeles County; California,28.8,47.4,13.6,53.9,43.6,12929.0,75.5
06037120104,Census Tract 1201.04; Los Angeles County; California,5.9,16.9,9.7,27.1,36.7,22401.0,47.9
06037120105,Census Tract 1201.05; Los Angeles County; California,8.7,21.3,6.9,35.4,38.3,22166.0,50.3
06037120106,Census Tract 1201.06; Los Angeles County; California,16.8,23.2,12.8,41.7,39.6,18704.0,59.6
06037120107,Census Tract 1201.07; Los Angeles County; California,19.0,31.3,9.7,50.599999999999994,42.0,13581.0,63.4
06037120108,Census Tract 1201.08; Los Angeles County; California,9.2,23.6,7.8,39.3,33.6,23249.0,50.9
06037120300,Census Tract 1203; Los Angeles County; California,17.9,16.1,10.1,21.9,35.5,24862.0,51.2
06037120400,Census Tract 1204; Los Angeles County; California,7.0,5.9,10.8,27.3,37.3,27519.0,45.6
06037121010,Census Tract 1210.10; Los Angeles County; California,17.7,3.5,5.5,26.7,31.799999999999997,28314.0,43.9
06037121020,Census Tract 1210.20; Los Angeles County; California,8.3,15.7,9.0,30.8,32.5,26732.0,47.0
06037121101,Census Tract 1211.01; Los Angeles County; California,8.9,8.8,5.0,33.6,26.0,28208.0,41.0
06037121102,Census Tract 1211.02; Los Angeles County; California,5.3,2.6,4.0,24.1,38.8,32071.0,39.1
06037121210,Census Tract 1212.10; Los Angeles County; California,6.5,6.3,8.8,38.900000000000006,39.5,24780.0,47.0
06037121221,Census Tract 1212.21; Los Angeles County; California,9.3,10.9,5.3,26.0,32.8,27860.0,42.8
06037121222,Census Tract 1212.22; Los Angeles County; California,18.5,12.2,6.6,47.5,26.700000000000003,24199.0,49.6
06037121600,Census Tract 1216; Los Angeles County; California,4.4,7.7,8.0,15.600000000000001,37.7,36485.0,40.7
06037121801,Census Tract 1218.01; Los Angeles County; California,7.6,9.9,9.8,39.8,32.9,19995.0,47.7
06037121802,Census Tract 1218.02; Los Angeles County; California,9.4,5.2,9.5,30.0,30.3,22522.0,44.3
06037121900,Census Tract 1219; Los Angeles County; California,5.2,11.8,13.2,33.5,29.5,25170.0,47.0
06037122000,Census Tract 1220; Los Angeles County; California,5.2,5.9,8.5,20.799999999999997,33.8,44501.0,39.7
06037122120,Census Tract 1221.20; Los Angeles County; California,8.3,7.4,7.3,41.1,36.5,23288.0,46.7
06037122121,Census Tract 1221.21; Los Angeles County; California,20.9,25.1,4.5,39.2,35.3,20547.0,54.5
06037122122,Census Tract 1221.22; Los Angeles County; California,24.0,27.5,2.4,41.9,44.400000000000006,15577.0,58.8
06037122200,Census Tract 1222; Los Angeles County; California,14.4,7.5,3.2,41.5,33.3,21365.0,45.8
06037122410,Census Tract 1224.10; Los Angeles County; California,18.5,15.9,5.9,36.900000000000006,31.5,27695.0,49.6
06037122420,Census Tract 1224.20; Los Angeles County; California,15.0,11.3,3.6,32.2,32.0,24541.0,45.2
06037123010,Census Tract 1230.10; Los Angeles County; California,19.8,20.3,5.6,43.8,37.3,19038.0,54.9
06037123020,Census Tract 1230.20; Los Angeles County; California,13.7,7.0,5.2,30.299999999999997,25.4,26799.0,41.9
06037123103,Census Tract 1231.03; Los Angeles County; California,8.6,14.3,8.7,19.7,27.2,37944.0,42.0
06037123104,Census Tract 1231.04; Los Angeles County; California,8.1,9.7,4.3,23.0,31.799999999999997,30865.0,40.3
06037123203,Census Tract 1232.03; Los Angeles County; California,18.1,22.5,3.8,38.0,31.8,19818.0,51.1
06037123204,Census Tract 1232.04; Los Angeles County; California,9.7,18.9,20.9,45.0,21.1,21525.0,55.4
06037123205,Census Tract 1232.05; Los Angeles County; California,16.5,24.7,11.7,36.9,30.5,21966.0,55.4
06037123206,Census Tract 1232.06; Los Angeles County; California,8.8,23.8,16.6,41.7,33.7,20086.0,57.1
06037123301,Census Tract 1233.01; Los Angeles County; California,3.6,6.5,4.3,17.0,30.2,35448.0,35.7
06037123303,Census Tract 1233.03; Los Angeles County; California,8.5,14.4,9.4,26.299999999999997,30.6,25638.0,45.7
06037123304,Census Tract 1233.04; Los Angeles County; California,7.8,16.3,8.1,21.700000000000003,46.400000000000006,26645.0,49.1
06037123410,Census Tract 1234.10; Los Angeles County; California,6.9,15.4,9.8,13.8,32.2,28446.0,43.8
06037123420,Census Tract 1234.20; Los Angeles County; California,11.7,19.3,8.8,27.0,31.2,30492.0,47.9
06037123510,Census Tract 1235.10; Los Angeles County; California,9.7,16.7,7.8,21.8,36.9,25074.0,47.1
06037123520,Census Tract 1235.20; Los Angeles County; California,17.7,18.3,16.5,20.6,33.4,28280.0,54.7
06037123601,Census Tract 1236.01; Los Angeles County; California,4.0,12.9,7.4,19.3,36.5,35404.0,42.0
06037123602,Census Tract 1236.02; Los Angeles County; California,4.8,13.4,7.0,22.9,43.099999999999994,35803.0,44.7
06037123700,Census Tract 1237; Los Angeles County; California,6.8,10.8,5.6,13.8,26.1,43437.0,36.5
06037123800,Census Tract 1238; Los Angeles County; California,2.1,10.7,6.8,9.1,29.7,53258.0,34.8
06037123901,Census Tract 1239.01; Los Angeles County; California,1.8,21.3,5.8,19.0,36.2,29045.0,43.0
06037123902,Census Tract 1239.02; Los Angeles County; California,1.1,23.7,14.4,6.5,29.799999999999997,45392.0,43.4
06037124000,Census Tract 1240; Los Angeles County; California,0.0,10.1,5.6,6.1,37.8,58332.0,34.5
06037124102,Census Tract 1241.02; Los Angeles County; California,6.0,22.6,8.4,11.7,29.700000000000003,39907.0,42.5
06037124103,Census Tract 1241.03; Los Angeles County; California,7.1,12.4,7.6,29.9,32.7,22314.0,45.0
06037124104,Census Tract 1241.04; Los Angeles County; California,9.0,17.4,9.0,21.299999999999997,32.0,27795.0,45.9
06037124105,Census Tract 1241.05; Los Angeles County; California,9.5,8.5,4.1,21.1,29.6,30991.0,39.4
06037124201,Census Tract 1242.01; Los Angeles County; California,3.0,6.0,7.0,29.9,26.200000000000003,27916.0,38.6
06037124203,Census Tract 1242.03; Los Angeles County; California,9.5,4.6,7.9,17.4,29.599999999999998,36599.0,39.6
06037124204,Census Tract 1242.04; Los Angeles County; California,5.9,22.6,8.9,30.0,30.0,27431.0,47.0
06037124300,Census Tract 1243; Los Angeles County; California,8.8,1.8,5.2,22.4,28.0,37527.0,37.0
06037124400,Census Tract 1244; Los Angeles County; California,3.0,6.9,5.0,8.5,30.8,46806.0,33.8
06037124500,Census Tract 1245; Los Angeles County; California,0.3,11.7,5.8,12.5,33.0,58439.0,34.8
06037124600,Census Tract 1246; Los Angeles County; California,0.0,4.3,6.9,4.2,35.3,57179.0,32.7
06037124700,Census Tract 1247; Los Angeles County; California,0.7,8.0,11.9,3.5999999999999996,30.2,63405.0,35.1
06037124902,Census Tract 1249.02; Los Angeles County; California,8.7,4.2,8.9,7.6,32.2,34124.0,39.2
06037124903,Census Tract 1249.03; Los Angeles County; California,5.2,13.1,10.2,16.2,31.799999999999997,39970.0,41.9
06037125101,Census Tract 1251.01; Los Angeles County; California,1.2,9.8,9.0,4.2,18.3,48473.0,31.8
06037125102,Census Tract 1251.02; Los Angeles County; California,1.6,7.7,6.7,0.8,41.2,81041.0,33.2
06037125200,Census Tract 1252; Los Angeles County; California,4.7,3.6,13.2,4.2,28.8,59620.0,36.2
06037125310,Census Tract 1253.10; Los Angeles County; California,1.4,11.9,8.5,10.9,23.4,51303.0,34.6
06037125321,Census Tract 1253.21; Los Angeles County; California,6.0,13.1,5.7,7.3,22.7,36258.0,35.5
06037125322,Census Tract 1253.22; Los Angeles County; California,1.0,12.7,9.3,18.4,24.8,40951.0,37.7
06037125402,Census Tract 1254.02; Los Angeles County; California,0.0,3.3,11.0,4.4,16.6,50888.0,30.1
06037125403,Census Tract 1254.03; Los Angeles County; California,3.0,4.4,9.9,8.3,12.3,41716.0,31.1
06037125404,Census Tract 1254.04; Los Angeles County; California,3.1,22.3,14.3,1.2,9.399999999999999,58788.0,35.5
06037125501,Census Tract 1255.01; Los Angeles County; California,2.3,13.2,9.6,5.6000000000000005,21.5,47709.0,34.9
06037125502,Census Tract 1255.02; Los Angeles County; California,0.5,6.1,13.0,15.1,26.799999999999997,87638.0,33.7
06037125600,Census Tract 1256; Los Angeles County; California,0.9,0.0,5.1,4.0,36.7,84995.0,28.4
06037127102,Census Tract 1271.02; Los Angeles County; California,15.2,23.5,9.5,23.3,30.9,23292.0,50.9
