Community Area,Year,Month,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON-CRIMINAL,OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION
43,2024,11,2.0,77.0,133.0,25.0,0.0,62.0,2.0,11.0,29.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,51.0,12.0,0.0,0.0,6.0,0.0,46.0,0.0,0.0,1.0,26.0,3.0,2.0,112.0,23.0
43,2024,12,0.0,77.0,169.0,31.0,0.0,82.0,3.0,15.0,31.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,48.0,4.0,0.0,1.0,8.0,0.0,49.0,0.0,0.0,2.0,26.0,4.0,0.0,123.0,12.0
43,2025,1,3.0,83.0,139.0,19.0,0.0,83.0,5.0,12.0,29.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,31.0,14.0,0.0,0.0,6.0,0.0,53.0,0.0,0.0,0.0,18.0,2.0,2.0,111.0,26.0
43,2025,2,0.0,62.0,128.0,22.0,0.0,61.0,3.0,4.0,19.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,27.0,8.0,0.0,0.0,2.0,0.0,41.0,0.0,0.0,1.0,12.0,3.0,4.0,118.0,18.0
43,2025,3,1.0,73.0,124.0,22.0,0.0,64.0,4.0,9.0,21.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,39.0,11.0,0.0,0.0,5.0,0.0,49.0,0.0,0.0,1.0,13.0,3.0,1.0,99.0,11.0
43,2025,4,0.0,40.0,76.0,24.0,0.0,36.0,7.0,4.0,22.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0,1.0,8.0,1.0,2.0,55.0,5.0
43,2025,5,0.0,80.0,158.0,14.0,0.0,89.0,6.0,6.0,30.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,82.0,9.0,0.0,0.0,9.0,0.0,52.0,0.0,0.0,2.0,28.0,4.0,0.0,112.0,29.0
43,2025,6,0.0,133.0,276.0,70.0,2.0,161.0,8.0,22.0,44.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,94.0,12.0,0.0,0.0,11.0,0.0,78.0,0.0,0.0,2.0,50.0,3.0,5.0,164.0,41.0
43,2025,7,2.0,112.0,192.0,40.0,0.0,104.0,5.0,9.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,83.0,19.0,0.0,0.0,6.0,0.0,66.0,1.0,0.0,2.0,30.0,4.0,4.0,149.0,27.0
43,2025,8,0.0,73.0,143.0,33.0,0.0,69.0,1.0,13.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,41.0,7.0,0.0,0.0,8.0,0.0,35.0,0.0,0.0,0.0,12.0,0.0,2.0,80.0,16.0
43,2025,9,1.0,65.0,149.0,22.0,0.0,112.0,1.0,14.0,32.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,33.0,6.0,0.0,0.0,8.0,0.0,52.0,2.0,0.0,0.0,11.0,1.0,3.0,84.0,19.0
43,2025,10,2.0,91.0,161.0,35.0,0.0,97.0,5.0,21.0,29.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,63.0,19.0,0.0,0.0,9.0,0.0,56.0,0.0,0.0,3.0,20.0,5.0,8.0,130.0,23.0
43,2025,11,1.0,90.0,150.0,31.0,1.0,107.0,4.0,16.0,29.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,62.0,11.0,0.0,1.0,4.0,0.0,45.0,1.0,0.0,3.0,14.0,1.0,1.0,119.0,21.0
43,2025,12,3.0,47.0,121.0,37.0,0.0,82.0,5.0,16.0,31.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,50.0,5.0,0.0,0.0,3.0,0.0,46.0,0.0,0.0,1.0,23.0,0.0,1.0,90.0,19.0
43,2026,1,0.0,68.0,122.0,30.0,0.0,92.0,2.0,26.0,22.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,41.0,14.0,0.0,0.0,7.0,0.0,59.0,0.0,0.0,5.0,14.0,3.0,1.0,80.0,18.0
43,2026,2,4.0,98.0,171.0,38.0,0.0,79.0,9.0,21.0,39.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,82.0,8.0,0.0,0.0,6.0,0.0,72.0,2.0,0.0,5.0,10.0,7.0,0.0,120.0,23.0
43,2026,3,0.0,106.0,157.0,46.0,0.0,118.0,2.0,17.0,30.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,89.0,8.0,0.0,0.0,9.0,0.0,45.0,0.0,0.0,1.0,19.0,1.0,2.0,125.0,25.0
43,2026,4,1.0,8.0,21.0,6.0,0.0,13.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,1.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,1.0,2.0,0.0,0.0,7.0,1.0
44,2024,1,3.0,38.0,94.0,13.0,0.0,48.0,1.0,12.0,25.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,58.0,12.0,0.0,0.0,2.0,0.0,41.0,0.0,0.0,1.0,16.0,1.0,1.0,88.0,17.0
44,2024,2,1.0,52.0,95.0,18.0,0.0,63.0,3.0,3.0,22.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,44.0,5.0,0.0,0.0,6.0,0.0,42.0,0.0,0.0,6.0,14.0,1.0,1.0,86.0,19.0
44,2024,3,1.0,57.0,114.0,22.0,0.0,58.0,0.0,10.0,16.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,61.0,6.0,0.0,0.0,2.0,0.0,53.0,0.0,0.0,2.0,31.0,1.0,2.0,84.0,15.0
44,2024,4,2.0,63.0,92.0,17.0,0.0,53.0,3.0,13.0,21.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,48.0,2.0,0.0,0.0,6.0,0.0,22.0,0.0,0.0,1.0,25.0,2.0,1.0,80.0,23.0
44,2024,5,2.0,82.0,123.0,23.0,0.0,65.0,6.0,8.0,21.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,39.0,5.0,0.0,0.0,5.0,0.0,47.0,0.0,0.0,3.0,35.0,2.0,1.0,102.0,32.0
44,2024,6,8.0,67.0,109.0,21.0,0.0,56.0,2.0,9.0,22.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,46.0,2.0,0.0,0.0,1.0,0.0,41.0,0.0,0.0,3.0,25.0,1.0,0.0,77.0,19.0
44,2024,7,1.0,41.0,82.0,18.0,0.0,73.0,5.0,4.0,21.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,51.0,6.0,0.0,0.0,3.0,0.0,42.0,0.0,0.0,6.0,29.0,1.0,0.0,96.0,17.0
44,2024,8,0.0,54.0,89.0,20.0,0.0,62.0,1.0,10.0,15.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,38.0,3.0,0.0,0.0,2.0,0.0,29.0,0.0,0.0,2.0,23.0,2.0,0.0,99.0,19.0
44,2024,9,0.0,55.0,89.0,18.0,0.0,65.0,4.0,10.0,15.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,37.0,4.0,0.0,0.0,1.0,0.0,38.0,0.0,0.0,0.0,24.0,6.0,2.0,75.0,18.0
44,2024,10,1.0,60.0,92.0,15.0,0.0,63.0,3.0,8.0,20.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,46.0,6.0,0.0,0.0,2.0,0.0,36.0,0.0,0.0,1.0,30.0,3.0,3.0,73.0,12.0
44,2024,11,2.0,52.0,84.0,12.0,0.0,62.0,0.0,4.0,25.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,23.0,4.0,0.0,0.0,3.0,0.0,38.0,0.0,0.0,2.0,17.0,0.0,1.0,91.0,3.0
44,2024,12,0.0,51.0,82.0,13.0,0.0,48.0,2.0,5.0,16.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,23.0,3.0,0.0,0.0,4.0,0.0,35.0,0.0,0.0,0.0,22.0,1.0,2.0,95.0,10.0
44,2025,1,1.0,44.0,60.0,18.0,0.0,50.0,2.0,8.0,18.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,24.0,3.0,0.0,0.0,2.0,0.0,41.0,0.0,0.0,0.0,20.0,0.0,0.0,89.0,10.0
44,2025,2,0.0,27.0,70.0,17.0,0.0,41.0,3.0,7.0,23.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,27.0,4.0,0.0,0.0,2.0,1.0,25.0,0.0,0.0,0.0,16.0,2.0,0.0,126.0,11.0
44,2025,3,1.0,49.0,79.0,14.0,1.0,45.0,1.0,2.0,20.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,26.0,5.0,0.0,0.0,2.0,0.0,39.0,0.0,0.0,1.0,9.0,2.0,0.0,97.0,9.0
44,2025,4,1.0,18.0,27.0,4.0,1.0,17.0,0.0,8.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,22.0,1.0,0.0,0.0,1.0,0.0,30.0,0.0,0.0,0.0,6.0,0.0,0.0,39.0,4.0
44,2025,5,0.0,45.0,115.0,19.0,0.0,53.0,0.0,9.0,16.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,42.0,7.0,0.0,0.0,4.0,0.0,51.0,0.0,0.0,2.0,19.0,2.0,0.0,95.0,14.0
44,2025,6,0.0,111.0,169.0,54.0,0.0,94.0,8.0,16.0,26.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,79.0,2.0,0.0,0.0,7.0,0.0,42.0,0.0,0.0,0.0,38.0,4.0,0.0,137.0,18.0
44,2025,7,2.0,64.0,133.0,15.0,0.0,70.0,1.0,15.0,26.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,50.0,5.0,0.0,0.0,4.0,0.0,51.0,0.0,0.0,1.0,17.0,0.0,0.0,119.0,16.0
